ADV-DUMP start dur=20s filter=(none)
EVENTS: 259  UNIQUE-ADDRESSES: 9
10B41DCD238D n=86 rssi=-33/-40 name=[BLEToolkit-Server] conn=1 uuids=4fafc201 mfr=00E0:4C69676874424C45
57CC438C9EFF n=42 rssi=-55/-60 name=[] conn=1 uuids=0000fdaa mfr=038F:2C1134366E4B103041A201152629FF1757010302
008BF4BC47A0 n=32 rssi=-56/-68 name=[] conn=0 uuids=- mfr=0006:01092002D6C5ADE5D0568698639844D1EA9AE401055D1BFD6BAC4E
0287C3B6A710 n=32 rssi=-53/-79 name=[] conn=0 uuids=- mfr=0006:01092002187E606BAEACE8DE21C90646D471DE2FB8CA7D5377A740
58013ACFE0F3 n=26 rssi=-62/-67 name=[] conn=1 uuids=- mfr=079A:AF302B1488004C264000000000EEA4D8E2B709
204205A2B63E n=24 rssi=-70/-84 name=[] conn=0 uuids=- mfr=0006:01092022EE43251E8967A43A92FD818700197476A41E9B2AAF0685
687984D729D9 n=8 rssi=-84/-89 name=[] conn=0 uuids=- mfr=0006:010920021AD709C9A125C6079A7AEE0E6737684A53CDC2FD95C7D4
552A7B5E16C2 n=8 rssi=-76/-91 name=[] conn=1 uuids=- mfr=004C:1006351E21DBE68A;004C:1006351E21DBE68E
4D93A8198615 n=1 rssi=-85/-85 name=[] conn=0 uuids=- mfr=004C:160800E0A4FEDD143B3D
ADV-DUMP end
