[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=连接 | frame=(195.6666717529297, 715.4131469726562, 49.666656494140625, 15.66668701171875)
[A11Y-INVENTORY] state=p001-scan-failed | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=BLE TOOLKIT+ | frame=(18.0, 70.0, 100.0, 12.0)
[A11Y-INVENTORY] state=p001-scan-failed | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=扫描 | frame=(51.0, 891.0, 20.0, 12.0)
[A11Y-INVENTORY] state=p001-scan-failed | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=3 | frame=(177.33333333333334, 861.5, 6.333333333333314, 11.0)
[A11Y-INVENTORY] state=p001-scan-failed | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=筛选 | frame=(400.0, 330.3333333333333, 24.0, 44.0)
[A11Y-INVENTORY] state=p001-scan-failed | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=扫描失败 | frame=(55.666666666666664, 146.0, 59.666666666666664, 18.0)
[A11Y-INVENTORY] state=p001-scan-failed | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=scan_failed | frame=(129.33333333333331, 149.0, 68.00000000000003, 12.0)
[A11Y-INVENTORY] state=p001-scan-failed | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=重试 | frame=(44.0, 228.0, 46.666664123535156, 15.706588745117188)
[A11Y-INVENTORY] state=p001-scan-failed | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=开始扫描 | frame=(321.6666564941406, 291.3088684082031, 84.33334350585938, 18.0)
[A11Y-INVENTORY] state=p002-configure | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=✓ | frame=(53.5, 134.83333333333334, 11.0, 14.333333333333343)
[A11Y-INVENTORY] state=p002-configure | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=2 | frame=(216.0, 134.83333333333334, 8.0, 14.333333333333343)
[A11Y-INVENTORY] state=p002-configure | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=连接设备 | frame=(37.0, 161.0, 44.0, 13.333333333333343)
[A11Y-INVENTORY] state=p002-configure | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=填写配置 | frame=(198.0, 161.0, 44.0, 13.333333333333343)
[A11Y-INVENTORY] state=p002-configure | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=S | frame=(42.16666666666667, 210.16666666666666, 11.666666666666664, 20.333333333333343)
[A11Y-INVENTORY] state=p002-configure | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=已连接 | frame=(25.0, 270.3333333333333, 36.0, 14.333333333333314)
[A11Y-INVENTORY] state=p002-configure | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=* | frame=(106.66666666666667, 316.66666666666663, 7.666666666666657, 20.33333333333337)
[A11Y-INVENTORY] state=p002-configure | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=* | frame=(151.33333333333331, 473.0, 7.666666666666657, 20.333333333333314)
[A11Y-INVENTORY] state=p002-configure | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=扫描 ControlHub 配对码 | frame=(68.66666666666667, 575.3333333333333, 184.33333333333331, 20.333333333333258)
[A11Y-INVENTORY] state=p002-configure | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=扫码解析 shid://pair 自动回填地址与令牌 | frame=(68.66666666666667, 598.6666666666665, 218.0, 14.333333333333371)
[A11Y-INVENTORY] state=p002-configure | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=必需 | frame=(378.0, 587.0, 24.0, 14.333333333333258)
[A11Y-INVENTORY] state=p002-configure | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=下发配置 | frame=(177.6666717529297, 703.3088989257812, 85.66667175292969, 18.0)
[A11Y-INVENTORY] state=p002-configure | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label= | frame=(32.0, 343.0, 376.0, 34.0)
[A11Y-INVENTORY] state=p002-configure | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label= | frame=(32.0, 499.3333333333333, 376.0, 33.99999999999994)
[A11Y-INVENTORY] state=p002-configure | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label= | frame=(32.0, 420.0, 341.6666666666667, 34.0)
[A11Y-INVENTORY] state=p002-identity-failed | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=1 | frame=(55.833333333333336, 134.83333333333334, 6.333333333333329, 14.333333333333343)
[A11Y-INVENTORY] state=p002-identity-failed | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=连接设备 | frame=(37.0, 161.0, 44.0, 13.333333333333343)
[A11Y-INVENTORY] state=p002-identity-failed | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=S | frame=(42.16666666666667, 210.16666666666666, 11.666666666666664, 20.333333333333343)
[A11Y-INVENTORY] state=p002-identity-failed | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=操作失败 | frame=(57.0, 278.3333333333333, 67.66666666666667, 20.333333333333314)
[A11Y-INVENTORY] state=p002-identity-failed | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=identity_failed | frame=(139.66666666666666, 282.5, 93.0, 12.0)
[A11Y-INVENTORY] state=p002-identity-failed | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=重新连接 | frame=(115.0, 375.6422119140625, 82.16667175292969, 18.0)
[A11Y-INVENTORY] state=p002-identity-failed | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=SHID-9F3E2A1C | frame=(79.0, 203.16666666666666, 130.33333333333334, 20.333333333333343)
[A11Y-INVENTORY] state=p002-success | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=✓ | frame=(53.5, 134.83333333333334, 11.0, 14.333333333333343)
[A11Y-INVENTORY] state=p002-success | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=✓ | frame=(214.5, 134.83333333333334, 11.0, 14.333333333333343)
[A11Y-INVENTORY] state=p002-success | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=3 | frame=(376.8333333333333, 134.83333333333334, 8.333333333333371, 14.333333333333343)
[A11Y-INVENTORY] state=p002-success | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=连接设备 | frame=(37.0, 161.0, 44.0, 13.333333333333343)
[A11Y-INVENTORY] state=p002-success | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=填写配置 | frame=(198.0, 161.0, 44.0, 13.333333333333343)
[A11Y-INVENTORY] state=p002-success | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=下发状态 | frame=(359.0, 161.0, 44.0, 13.333333333333343)
[A11Y-INVENTORY] state=p002-success | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=S | frame=(42.16666666666667, 210.16666666666666, 11.666666666666664, 20.333333333333343)
[A11Y-INVENTORY] state=p002-success | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=查看设备 | frame=(183.3333282470703, 433.6666564941406, 76.50001525878906, 18.0)
[A11Y-INVENTORY] state=p003-detail | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=? | frame=?
[A11Y-INVENTORY] state=p003-detail | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=提示 | frame=(90.0, 438.0, 260.0, 20.333333333333314)
[A11Y-INVENTORY] state=p003-detail | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=该历史设备记录已不存在 | frame=(90.0, 465.6666666666667, 260.0, 18.0)
[A11Y-INVENTORY] state=p003-missing-fields | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=该历史设备记录已不存在 | frame=(90.0, 465.6666666666667, 260.0, 18.0)
[A11Y-INVENTORY] state=p003-missing-fields | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=提示 | frame=(90.0, 438.0, 260.0, 20.333333333333314)
[A11Y-INVENTORY] state=p003-missing-fields | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=? | frame=?
[A11Y-INVENTORY] state=p005-diagnostics | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=实时检测完成 | frame=(37.0, 144.0, 71.66666666666667, 14.333333333333314)
[A11Y-INVENTORY] state=p005-diagnostics | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=正常 | frame=(131.0, 203.16666666666666, 24.0, 14.333333333333343)
[A11Y-INVENTORY] state=p005-diagnostics | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=正常 | frame=(141.66666666666666, 263.83333333333337, 24.0, 14.333333333333314)
[A11Y-INVENTORY] state=p005-diagnostics | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=正常 | frame=(152.66666666666666, 324.5, 24.0, 14.333333333333371)
[A11Y-INVENTORY] state=p005-diagnostics | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=正常 | frame=(129.66666666666666, 385.1666666666667, 24.0, 14.333333333333258)
[A11Y-INVENTORY] state=p005-diagnostics | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=正常 | frame=(181.66666666666666, 445.83333333333326, 24.0, 14.333333333333314)
[A11Y-INVENTORY] state=p005-diagnostics | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=重新检测 | frame=(179.6666717529297, 503.6666564941406, 82.16667175292969, 18.142181396484375)
[A11Y-INVENTORY] state=p005-diagnostics | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=重新配网 | frame=(291.0, 569.0, 67.58334350585938, 14.86376953125)
[A11Y-INVENTORY] state=p005-offline | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=设备未连接 | frame=(37.0, 144.0, 59.66666666666667, 14.333333333333314)
[A11Y-INVENTORY] state=p005-offline | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=重新检测 | frame=(179.6666717529297, 442.3333435058594, 82.16667175292969, 18.1422119140625)
[A11Y-INVENTORY] state=p005-offline | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=重新配网 | frame=(291.0, 507.6666564941406, 67.58334350585938, 14.863800048828125)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=ABOUT | frame=(17.999999999999943, 70.0, 48.0, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=1.0.5-preview | frame=(334.33333333333337, 90.0, 80.66666666666663, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=3 | frame=(177.33333333333334, 861.5, 6.333333333333314, 11.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=关于 | frame=(369.0, 891.0, 20.0, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=LB | frame=(41.1666666666667, 268.3333333333333, 19.666666666666664, 18.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=ES | frame=(41.1666666666667, 330.66666666666663, 19.666666666666664, 18.000000000000057)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=PREVIEW | frame=(136.00000000000003, 647.0, 43.33333333333334, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=NOT_RELEASED | frame=(200.33333333333334, 647.0, 74.33333333333329, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=PREVIEW | frame=(136.00000000000003, 675.0, 43.33333333333334, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=NOT_RELEASED | frame=(200.33333333333334, 675.0, 74.33333333333329, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=PREVIEW | frame=(136.00000000000003, 703.0, 43.33333333333334, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=NOT_RELEASED | frame=(200.33333333333334, 703.0, 74.33333333333329, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=UNSUPPORTED | frame=(136.00000000000003, 731.0, 68.0, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=NOT_RELEASED | frame=(225.00000000000003, 731.0, 74.33333333333334, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=REFERENCE | frame=(136.00000000000003, 759.0, 55.66666666666663, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=NOT_RELEASED | frame=(212.66666666666666, 759.0, 74.33333333333334, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=01 蓝牙扫描与筛选 | frame=(38.0, 546.0, 84.33333333333333, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=02 GATT 读写与监听 | frame=(166.66666666666669, 546.0, 95.66666666666669, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=03 多设备会话管理 | frame=(295.33333333333337, 546.0, 85.99999999999994, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=04 BLE 广播发射 | frame=(38.0, 572.0, 78.33333333333333, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=05 Smart HID 配网 | frame=(166.66666666666669, 572.0, 90.33333333333331, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=06 固件升级（受限） | frame=(295.33333333333337, 572.0, 88.66666666666663, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=03 多设备会话管理 | frame=(295.33333333333337, 546.0, 85.99999999999994, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=05 Smart HID 配网 | frame=(166.66666666666669, 572.0, 90.33333333333331, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=02 GATT 读写与监听 | frame=(166.66666666666669, 546.0, 95.66666666666669, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=01 蓝牙扫描与筛选 | frame=(38.0, 546.0, 84.33333333333333, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=04 BLE 广播发射 | frame=(38.0, 572.0, 78.33333333333333, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=06 固件升级（受限） | frame=(295.33333333333337, 572.0, 88.66666666666663, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=01 蓝牙扫描与筛选 | frame=(38.0, 546.0, 84.33333333333333, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=04 BLE 广播发射 | frame=(38.0, 572.0, 78.33333333333333, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=03 多设备会话管理 | frame=(295.33333333333337, 546.0, 85.99999999999994, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=06 固件升级（受限） | frame=(295.33333333333337, 572.0, 88.66666666666663, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=05 Smart HID 配网 | frame=(166.66666666666669, 572.0, 90.33333333333331, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=02 GATT 读写与监听 | frame=(166.66666666666669, 546.0, 95.66666666666669, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=v1.0.5-preview · preview · 零后端 · 零本地持久化 | frame=(84.00000000000003, 171.0, 229.33333333333334, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 8) | Element has no description, looks like: Bluetooth | label= | frame=(40.00000000000003, 156.0, 22.0, 22.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 8) | Label not human-readable | label=1.0.5-preview | frame=(334.33333333333337, 90.0, 80.66666666666663, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 8) | Label not human-readable | label=point.3.connected.trianglepath.dotted | frame=(18.00000000000003, 216.66666666666666, 18.666667938232422, 15.333333969116211)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 8) | Label not human-readable | label=NOT_RELEASED | frame=(200.33333333333334, 647.0, 74.33333333333329, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 8) | Label not human-readable | label=NOT_RELEASED | frame=(200.33333333333334, 675.0, 74.33333333333329, 12.0)
