
===== capture start 2026-09-18 12:14:52 port=COM12 =====
[12:29:55] I (1851331) status_manager: status published online=1 usb_hid_ready=1
[12:30:05] I (1861331) status_manager: status published online=1 usb_hid_ready=1
[12:30:15] I (1871331) status_manager: status published online=1 usb_hid_ready=1
[12:30:25] I (1881331) status_manager: status published online=1 usb_hid_ready=1
[12:30:35] I (1891331) status_manager: status published online=1 usb_hid_ready=1
[12:30:45] I (1901331) status_manager: status published online=1 usb_hid_ready=1
[12:30:55] I (1911331) status_manager: status published online=1 usb_hid_ready=1
[12:31:05] I (1921331) status_manager: status published online=1 usb_hid_ready=1
[12:31:15] I (1931331) status_manager: status published online=1 usb_hid_ready=1
[12:31:25] I (1941331) status_manager: status published online=1 usb_hid_ready=1
[12:31:35] I (1951331) status_manager: status published online=1 usb_hid_ready=1
[12:31:45] I (1961331) status_manager: status published online=1 usb_hid_ready=1
[12:31:55] I (1971331) status_manager: status published online=1 usb_hid_ready=1
[12:32:05] I (1981331) status_manager: status published online=1 usb_hid_ready=1
[12:32:15] I (1991331) status_manager: status published online=1 usb_hid_ready=1
[12:32:25] I (2001331) status_manager: status published online=1 usb_hid_ready=1
[12:32:35] I (2011331) status_manager: status published online=1 usb_hid_ready=1
[12:32:45] I (2021331) status_manager: status published online=1 usb_hid_ready=1
[12:32:55] I (2031331) status_manager: status published online=1 usb_hid_ready=1
[12:33:05] I (2041331) status_manager: status published online=1 usb_hid_ready=1
[12:33:15] I (2051331) status_manager: status published online=1 usb_hid_ready=1
[12:33:25] I (2061331) status_manager: status published online=1 usb_hid_ready=1
[12:33:35] I (2071331) status_manager: status published online=1 usb_hid_ready=1
[12:33:45] I (2081331) status_manager: status published online=1 usb_hid_ready=1
[12:33:55] I (2091331) status_manager: status published online=1 usb_hid_ready=1
[12:34:05] I (2101331) status_manager: status published online=1 usb_hid_ready=1
[12:34:15] I (2111331) status_manager: status published online=1 usb_hid_ready=1
[12:34:25] I (2121331) status_manager: status published online=1 usb_hid_ready=1
[12:34:35] I (2131331) status_manager: status published online=1 usb_hid_ready=1
[12:34:45] I (2141331) status_manager: status published online=1 usb_hid_ready=1
[12:34:55] I (2151331) status_manager: status published online=1 usb_hid_ready=1
[12:35:05] I (2161331) status_manager: status published online=1 usb_hid_ready=1
[12:35:15] I (2171331) status_manager: status published online=1 usb_hid_ready=1
[12:35:25] I (2181331) status_manager: status published online=1 usb_hid_ready=1
[12:35:35] I (2191331) status_manager: status published online=1 usb_hid_ready=1
[12:35:45] I (2201331) status_manager: status published online=1 usb_hid_ready=1
[12:35:55] I (2211331) status_manager: status published online=1 usb_hid_ready=1
[12:36:05] I (2221331) status_manager: status published online=1 usb_hid_ready=1
[12:36:15] I (2231331) status_manager: status published online=1 usb_hid_ready=1
[12:36:25] I (2241331) status_manager: status published online=1 usb_hid_ready=1
[12:36:35] I (2251331) status_manager: status published online=1 usb_hid_ready=1
[12:36:45] I (2261331) status_manager: status published online=1 usb_hid_ready=1
[12:36:55] I (2271331) status_manager: status published online=1 usb_hid_ready=1
[12:37:05] I (2281331) status_manager: status published online=1 usb_hid_ready=1
[12:37:15] I (2291331) status_manager: status published online=1 usb_hid_ready=1
[12:37:25] I (2301331) status_manager: status published online=1 usb_hid_ready=1
[12:37:35] I (2311331) status_manager: status published online=1 usb_hid_ready=1
[12:37:45] I (2321331) status_manager: status published online=1 usb_hid_ready=1
[12:37:55] I (2331331) status_manager: status published online=1 usb_hid_ready=1
[12:38:05] I (2341331) status_manager: status published online=1 usb_hid_ready=1
[12:38:15] I (2351331) status_manager: status published online=1 usb_hid_ready=1
[12:38:25] I (2361331) status_manager: status published online=1 usb_hid_ready=1
[12:38:35] I (2371331) status_manager: status published online=1 usb_hid_ready=1
[12:38:45] I (2381331) status_manager: status published online=1 usb_hid_ready=1
[12:38:55] I (2391331) status_manager: status published online=1 usb_hid_ready=1
[12:39:05] I (2401331) status_manager: status published online=1 usb_hid_ready=1
[12:39:15] I (2411331) status_manager: status published online=1 usb_hid_ready=1
[12:39:25] I (2421331) status_manager: status published online=1 usb_hid_ready=1
[12:39:35] I (2431331) status_manager: status published online=1 usb_hid_ready=1
[12:39:45] I (2441331) status_manager: status published online=1 usb_hid_ready=1
[12:39:55] I (2451331) status_manager: status published online=1 usb_hid_ready=1
[12:40:05] I (2461331) status_manager: status published online=1 usb_hid_ready=1
[12:40:15] I (2471331) status_manager: status published online=1 usb_hid_ready=1
[12:40:25] I (2481331) status_manager: status published online=1 usb_hid_ready=1
[12:40:35] I (2491331) status_manager: status published online=1 usb_hid_ready=1
[12:40:45] I (2501331) status_manager: status published online=1 usb_hid_ready=1
[12:40:55] I (2511331) status_manager: status published online=1 usb_hid_ready=1
[12:41:05] I (2521331) status_manager: status published online=1 usb_hid_ready=1
[12:41:15] I (2531331) status_manager: status published online=1 usb_hid_ready=1
[12:41:25] I (2541331) status_manager: status published online=1 usb_hid_ready=1
[12:41:35] I (2551331) status_manager: status published online=1 usb_hid_ready=1
[12:41:45] I (2561331) status_manager: status published online=1 usb_hid_ready=1
[12:41:55] I (2571331) status_manager: status published online=1 usb_hid_ready=1
[12:42:05] I (2581331) status_manager: status published online=1 usb_hid_ready=1
[12:42:15] I (2591331) status_manager: status published online=1 usb_hid_ready=1
[12:42:25] I (2601331) status_manager: status published online=1 usb_hid_ready=1
[12:42:35] I (2611331) status_manager: status published online=1 usb_hid_ready=1
[12:42:45] I (2621331) status_manager: status published online=1 usb_hid_ready=1
[12:42:55] I (2631331) status_manager: status published online=1 usb_hid_ready=1
[12:43:05] I (2641331) status_manager: status published online=1 usb_hid_ready=1
[12:43:15] I (2651331) status_manager: status published online=1 usb_hid_ready=1
[12:43:25] I (2661331) status_manager: status published online=1 usb_hid_ready=1
[12:43:35] I (2671331) status_manager: status published online=1 usb_hid_ready=1
[12:43:45] I (2681331) status_manager: status published online=1 usb_hid_ready=1
[12:43:55] I (2691331) status_manager: status published online=1 usb_hid_ready=1
[12:44:05] I (2701331) status_manager: status published online=1 usb_hid_ready=1
[12:44:15] I (2711331) status_manager: status published online=1 usb_hid_ready=1
[12:44:25] I (2721331) status_manager: status published online=1 usb_hid_ready=1
[12:44:35] I (2731331) status_manager: status published online=1 usb_hid_ready=1
[12:44:45] I (2741331) status_manager: status published online=1 usb_hid_ready=1
[12:44:55] I (2751331) status_manager: status published online=1 usb_hid_ready=1
[12:45:05] I (2761331) status_manager: status published online=1 usb_hid_ready=1
[12:45:15] I (2771331) status_manager: status published online=1 usb_hid_ready=1
[12:45:25] I (2781331) status_manager: status published online=1 usb_hid_ready=1
[12:45:35] I (2791331) status_manager: status published online=1 usb_hid_ready=1
[12:45:45] I (2801331) status_manager: status published online=1 usb_hid_ready=1
[12:45:55] I (2811331) status_manager: status published online=1 usb_hid_ready=1
[12:46:05] I (2821331) status_manager: status published online=1 usb_hid_ready=1
[12:46:15] I (2831331) status_manager: status published online=1 usb_hid_ready=1
[12:46:25] I (2841331) status_manager: status published online=1 usb_hid_ready=1
[12:46:35] I (2851331) status_manager: status published online=1 usb_hid_ready=1
[12:46:45] I (2861331) status_manager: status published online=1 usb_hid_ready=1
[12:46:55] I (2871331) status_manager: status published online=1 usb_hid_ready=1
[12:47:05] I (2881331) status_manager: status published online=1 usb_hid_ready=1
[12:47:15] I (2891331) status_manager: status published online=1 usb_hid_ready=1
[12:47:25] I (2901331) status_manager: status published online=1 usb_hid_ready=1
[12:47:35] I (2911331) status_manager: status published online=1 usb_hid_ready=1
[12:47:45] I (2921331) status_manager: status published online=1 usb_hid_ready=1
[12:47:55] I (2931331) status_manager: status published online=1 usb_hid_ready=1
[12:48:05] I (2941331) status_manager: status published online=1 usb_hid_ready=1
[12:48:15] I (2951331) status_manager: status published online=1 usb_hid_ready=1
[12:48:25] I (2961331) status_manager: status published online=1 usb_hid_ready=1
[12:48:35] I (2971331) status_manager: status published online=1 usb_hid_ready=1
[12:48:45] I (2981331) status_manager: status published online=1 usb_hid_ready=1
[12:48:55] I (2991331) status_manager: status published online=1 usb_hid_ready=1
[12:49:05] I (3001331) status_manager: status published online=1 usb_hid_ready=1
[12:49:15] I (3011331) status_manager: status published online=1 usb_hid_ready=1
[12:49:25] I (3021331) status_manager: status published online=1 usb_hid_ready=1
[12:49:35] I (3031331) status_manager: status published online=1 usb_hid_ready=1
[12:49:45] I (3041331) status_manager: status published online=1 usb_hid_ready=1
[12:49:55] I (3051331) status_manager: status published online=1 usb_hid_ready=1
[12:50:05] I (3061331) status_manager: status published online=1 usb_hid_ready=1
[12:50:15] I (3071331) status_manager: status published online=1 usb_hid_ready=1
[12:50:25] I (3081331) status_manager: status published online=1 usb_hid_ready=1
[12:50:35] I (3091331) status_manager: status published online=1 usb_hid_ready=1
[12:50:45] I (3101331) status_manager: status published online=1 usb_hid_ready=1
[12:50:55] I (3111331) status_manager: status published online=1 usb_hid_ready=1
[12:51:05] I (3121331) status_manager: status published online=1 usb_hid_ready=1
[12:51:15] I (3131331) status_manager: status published online=1 usb_hid_ready=1
[12:51:25] I (3141331) status_manager: status published online=1 usb_hid_ready=1
[12:51:35] I (3151331) status_manager: status published online=1 usb_hid_ready=1
[12:51:45] I (3161331) status_manager: status published online=1 usb_hid_ready=1
[12:51:55] I (3171331) status_manager: status published online=1 usb_hid_ready=1
[12:52:05] I (3181331) status_manager: status published online=1 usb_hid_ready=1
[12:52:15] I (3191331) status_manager: status published online=1 usb_hid_ready=1
[12:52:25] I (3201331) status_manager: status published online=1 usb_hid_ready=1
[12:52:35] I (3211331) status_manager: status published online=1 usb_hid_ready=1
[12:52:45] I (3221331) status_manager: status published online=1 usb_hid_ready=1
[12:52:55] I (3231331) status_manager: status published online=1 usb_hid_ready=1
[12:53:05] I (3241331) status_manager: status published online=1 usb_hid_ready=1
